Slot,Rank,Strategy_Name,Description,Value_Score,Strategy_Type,Round1_Pick,Round1_Pos,Round2_Pick,Round2_Pos,Round3_Pick,Round3_Pos,Round4_Pick,Round4_Pos,Round5_Pick,Round5_Pos,Round6_Pick,Round6_Pos,Round7_Pick,Round7_Pos,Round8_Pick,Round8_Pos,Round9_Pick,Round9_Pos,Round10_Pick,Round10_Pos,Round11_Pick,Round11_Pos,Round12_Pick,Round12_Pos,Round13_Pick,Round13_Pos,Round14_Pick,Round14_Pos,Round15_Pick,Round15_Pos,Round16_Pick,Round16_Pos,Is_Recommended
5,9,Zero-RB,"Three elite WRs early, RBs in mid rounds for strong bench depth",1525.1366666666668,Generic,Ja'Marr Chase,WR,Chris Olave,WR,Zay Flowers,WR,Bucky Irving,RB,Quinshon Judkins,RB,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Matthew Golden,WR,Blake Corum,RB,Jalen McMillan,WR,Hunter Henry,TE,Tyrone Tracy Jr.,RB,WR (unavailable),WR,False
5,10,Balanced,"Balanced RB/WR mix early, strong TE/flex depth on bench",1519.2166666666667,Generic,Christian McCaffrey,RB,Chris Olave,WR,Kyren Williams,RB,Davante Adams,WR,Jaylen Waddle,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Matthew Golden,WR,Isaiah Likely,TE,Alvin Kamara,RB,Tank Dell,WR,Tyrone Tracy Jr.,RB,WR (unavailable),WR,False
5,11,RB-WR-Mix (Combo),RB-WR-Mix strategy optimized for slot 5,1519.2166666666667,RB/WR Combo,Christian McCaffrey,RB,Chris Olave,WR,Kyren Williams,RB,Davante Adams,WR,Jaylen Waddle,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Matthew Golden,WR,Isaiah Likely,TE,Alvin Kamara,RB,Tank Dell,WR,Tyrone Tracy Jr.,RB,WR (unavailable),WR,False
5,12,Hero-RB,"Elite RB in R1, skip R2 RB, load WR/TE early, grab RBs in mid-rounds",1507.9666666666667,Generic,Christian McCaffrey,RB,Chris Olave,WR,Zay Flowers,WR,Davante Adams,WR,Colston Loveland,TE,Carnell Tate,WR,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Jonathon Brooks,RB,Isaiah Likely,TE,Alvin Kamara,RB,Tank Dell,WR,Tyrone Tracy Jr.,RB,WR (unavailable),WR,False
6,1,Best-Available,Pick best value within ADP range regardless of position,1575.006666666667,Generic,Christian McCaffrey,RB,Chase Brown,RB,Kyren Williams,RB,Emeka Egbuka,WR,Drake Maye,QB,Joe Burrow,QB,Chuba Hubbard,RB,Brian Thomas Jr.,WR,Chris Godwin Jr.,WR,Makai Lemon,WR,Matthew Golden,WR,Tyjae Spears,RB,Tyler Shough,QB,Hunter Henry,TE,Jake Ferguson,TE,No player available,,True
6,2,Value-Play (Combo),Value-Play strategy optimized for slot 6,1569.0433333333333,RB/WR Combo,Jaxon Smith-Njigba,WR,Chase Brown,RB,Kyren Williams,RB,Emeka Egbuka,WR,Rome Odunze,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Makai Lemon,WR,Jonathon Brooks,RB,Jerry Jeudy,WR,Isaiah Likely,TE,Zach Charbonnet,RB,Tank Dell,WR,Tyrone Tracy Jr.,RB,True
6,3,TE-Premium (Combo),TE-Premium strategy optimized for slot 6,1556.743333333333,RB/WR Combo,Christian McCaffrey,RB,Chris Olave,WR,Trey McBride,TE,Emeka Egbuka,WR,Quinshon Judkins,RB,Carnell Tate,WR,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Matthew Golden,WR,Isaiah Likely,TE,Alvin Kamara,RB,Jauan Jennings,WR,Jake Ferguson,TE,Tyrone Tracy Jr.,RB,True
6,4,WR-First (Combo),WR-First strategy optimized for slot 6,1552.253333333333,RB/WR Combo,Jaxon Smith-Njigba,WR,Chris Olave,WR,Kyren Williams,RB,Bucky Irving,RB,Rome Odunze,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Makai Lemon,WR,Jonathon Brooks,RB,Jerry Jeudy,WR,Alvin Kamara,RB,Hunter Henry,TE,Tank Dell,WR,Tyrone Tracy Jr.,RB,True
6,5,WR-Heavy,"Three WRs in first 5 picks, RB value in mid rounds for bench",1551.7933333333333,Generic,Jaxon Smith-Njigba,WR,Chase Brown,RB,Zay Flowers,WR,Emeka Egbuka,WR,Quinshon Judkins,RB,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Makai Lemon,WR,Jonathon Brooks,RB,Isaiah Likely,TE,Alvin Kamara,RB,Jauan Jennings,WR,Tank Dell,WR,Tyrone Tracy Jr.,RB,True
6,6,Heavy-RB,"Three elite RBs in first 3 rounds, pivot to WR depth",1548.256666666667,Generic,Christian McCaffrey,RB,Chase Brown,RB,Kyren Williams,RB,Emeka Egbuka,WR,Rome Odunze,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Matthew Golden,WR,Tyjae Spears,RB,Jalen McMillan,WR,Hunter Henry,TE,Tyrone Tracy Jr.,RB,Denzel Boston,WR,False
6,7,RB-First (Combo),RB-First strategy optimized for slot 6,1546.506666666667,RB/WR Combo,Christian McCaffrey,RB,Chase Brown,RB,Zay Flowers,WR,Emeka Egbuka,WR,Rome Odunze,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Matthew Golden,WR,Tyjae Spears,RB,Jalen McMillan,WR,Hunter Henry,TE,Tyrone Tracy Jr.,RB,Denzel Boston,WR,False
6,8,Balanced,"Balanced RB/WR mix early, strong TE/flex depth on bench",1544.9666666666667,Generic,Christian McCaffrey,RB,Chris Olave,WR,Kyren Williams,RB,Emeka Egbuka,WR,Rome Odunze,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Matthew Golden,WR,Isaiah Likely,TE,Alvin Kamara,RB,Jauan Jennings,WR,Tyrone Tracy Jr.,RB,Denzel Boston,WR,False
6,9,RB-WR-Mix (Combo),RB-WR-Mix strategy optimized for slot 6,1544.9666666666667,RB/WR Combo,Christian McCaffrey,RB,Chris Olave,WR,Kyren Williams,RB,Emeka Egbuka,WR,Rome Odunze,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Matthew Golden,WR,Isaiah Likely,TE,Alvin Kamara,RB,Jauan Jennings,WR,Tyrone Tracy Jr.,RB,Denzel Boston,WR,False
6,10,Zero-RB,"Three elite WRs early, RBs in mid rounds for strong bench depth",1544.003333333333,Generic,Jaxon Smith-Njigba,WR,Chris Olave,WR,Zay Flowers,WR,Bucky Irving,RB,Quinshon Judkins,RB,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Matthew Golden,WR,Tyjae Spears,RB,Jalen McMillan,WR,Hunter Henry,TE,Tyrone Tracy Jr.,RB,Denzel Boston,WR,False
6,11,Ryans-Animal,"Only draft players from teams with animal mascots, best available strategy",1542.2933333333333,Generic,Jaxon Smith-Njigba,WR,Chase Brown,RB,Zay Flowers,WR,Tee Higgins,WR,Rome Odunze,WR,Joe Burrow,QB,RJ Harvey,RB,Kyle Pitts Sr.,TE,Mark Andrews,TE,Makai Lemon,WR,Bo Nix,QB,No player available,,Zach Charbonnet,RB,No player available,,No player available,,No player available,,False
6,12,Hero-RB,"Elite RB in R1, skip R2 RB, load WR/TE early, grab RBs in mid-rounds",1537.9666666666667,Generic,Christian McCaffrey,RB,Chris Olave,WR,Zay Flowers,WR,Emeka Egbuka,WR,Colston Loveland,TE,Carnell Tate,WR,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Jonathon Brooks,RB,Isaiah Likely,TE,Alvin Kamara,RB,Jauan Jennings,WR,Tyrone Tracy Jr.,RB,Denzel Boston,WR,False
7,1,Value-Play (Combo),Value-Play strategy optimized for slot 7,1570.2933333333333,RB/WR Combo,Jaxon Smith-Njigba,WR,Chase Brown,RB,Breece Hall,RB,Malik Nabers,WR,Rome Odunze,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Makai Lemon,WR,Jonathon Brooks,RB,Jerry Jeudy,WR,Isaiah Likely,TE,Woody Marks,RB,Tank Dell,WR,Tyrone Tracy Jr.,RB,True
7,2,Best-Available,Pick best value within ADP range regardless of position,1568.506666666667,Generic,Christian McCaffrey,RB,Chase Brown,RB,Breece Hall,RB,Malik Nabers,WR,Rome Odunze,WR,Wan'Dale Robinson,WR,Dak Prescott,QB,J.K. Dobbins,RB,Deebo Samuel Sr.,WR,Makai Lemon,WR,Calvin Ridley,WR,Tyjae Spears,RB,Tyler Shough,QB,Hunter Henry,TE,Tank Dell,WR,No player available,,True
7,3,WR-First (Combo),WR-First strategy optimized for slot 7,1558.3366666666666,RB/WR Combo,Jaxon Smith-Njigba,WR,Drake London,WR,Breece Hall,RB,Bucky Irving,RB,Rome Odunze,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Makai Lemon,WR,Jonathon Brooks,RB,Jerry Jeudy,WR,Alvin Kamara,RB,Hunter Henry,TE,Tank Dell,WR,Tyrone Tracy Jr.,RB,True
7,4,Hero-RB,"Elite RB in R1, skip R2 RB, load WR/TE early, grab RBs in mid-rounds",1553.3,Generic,Christian McCaffrey,RB,Drake London,WR,Zay Flowers,WR,Malik Nabers,WR,Colston Loveland,TE,Wan'Dale Robinson,WR,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Jonathon Brooks,RB,Isaiah Likely,TE,Alvin Kamara,RB,Jalen McMillan,WR,Tyrone Tracy Jr.,RB,Denzel Boston,WR,True
7,5,Balanced,"Balanced RB/WR mix early, strong TE/flex depth on bench",1551.3,Generic,Christian McCaffrey,RB,Drake London,WR,Breece Hall,RB,Malik Nabers,WR,Rome Odunze,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Calvin Ridley,WR,Isaiah Likely,TE,Alvin Kamara,RB,Jalen McMillan,WR,Tyrone Tracy Jr.,RB,Denzel Boston,WR,True
7,6,RB-WR-Mix (Combo),RB-WR-Mix strategy optimized for slot 7,1551.3,RB/WR Combo,Christian McCaffrey,RB,Drake London,WR,Breece Hall,RB,Malik Nabers,WR,Rome Odunze,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Calvin Ridley,WR,Isaiah Likely,TE,Alvin Kamara,RB,Jalen McMillan,WR,Tyrone Tracy Jr.,RB,Denzel Boston,WR,False
7,7,WR-Heavy,"Three WRs in first 5 picks, RB value in mid rounds for bench",1550.2933333333333,Generic,Jaxon Smith-Njigba,WR,Chase Brown,RB,Zay Flowers,WR,Malik Nabers,WR,Bhayshul Tuten,RB,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Makai Lemon,WR,Jonathon Brooks,RB,Isaiah Likely,TE,Alvin Kamara,RB,Jalen McMillan,WR,Tank Dell,WR,Tyrone Tracy Jr.,RB,False
7,8,Heavy-RB,"Three elite RBs in first 3 rounds, pivot to WR depth",1546.506666666667,Generic,Christian McCaffrey,RB,Chase Brown,RB,Breece Hall,RB,Malik Nabers,WR,Rome Odunze,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Calvin Ridley,WR,Tyjae Spears,RB,Jalen McMillan,WR,Hunter Henry,TE,Tyrone Tracy Jr.,RB,Denzel Boston,WR,False
7,9,TE-Premium (Combo),TE-Premium strategy optimized for slot 7,1546.2733333333333,RB/WR Combo,Christian McCaffrey,RB,Drake London,WR,Brock Bowers,TE,Malik Nabers,WR,Bhayshul Tuten,RB,Wan'Dale Robinson,WR,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Calvin Ridley,WR,Isaiah Likely,TE,Alvin Kamara,RB,Jalen McMillan,WR,Dalton Kincaid,TE,Tyrone Tracy Jr.,RB,False
7,10,RB-First (Combo),RB-First strategy optimized for slot 7,1545.756666666667,RB/WR Combo,Christian McCaffrey,RB,Chase Brown,RB,Zay Flowers,WR,Malik Nabers,WR,Rome Odunze,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Calvin Ridley,WR,Tyjae Spears,RB,Jalen McMillan,WR,Hunter Henry,TE,Tyrone Tracy Jr.,RB,Denzel Boston,WR,False
7,11,Zero-RB,"Three elite WRs early, RBs in mid rounds for strong bench depth",1545.3366666666666,Generic,Jaxon Smith-Njigba,WR,Drake London,WR,Zay Flowers,WR,Bucky Irving,RB,Bhayshul Tuten,RB,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Calvin Ridley,WR,Tyjae Spears,RB,Jalen McMillan,WR,Hunter Henry,TE,Tyrone Tracy Jr.,RB,Denzel Boston,WR,False
7,12,Ryans-Animal,"Only draft players from teams with animal mascots, best available strategy",1541.2933333333333,Generic,Jaxon Smith-Njigba,WR,Chase Brown,RB,Zay Flowers,WR,Tee Higgins,WR,Rome Odunze,WR,Joe Burrow,QB,RJ Harvey,RB,J.K. Dobbins,RB,Mark Andrews,TE,Makai Lemon,WR,Bo Nix,QB,No player available,,Zach Charbonnet,RB,No player available,,Dalton Kincaid,TE,No player available,,False
8,1,Best-Available,Pick best value within ADP range regardless of position,1590.513333333333,Generic,Jonathan Taylor,RB,Justin Jefferson,WR,Zay Flowers,WR,Javonte Williams,RB,Rome Odunze,WR,Wan'Dale Robinson,WR,Dak Prescott,QB,Trevor Lawrence,QB,Mark Andrews,TE,Khalil Shakir,WR,Calvin Ridley,WR,Jalen Coker,WR,Tyler Shough,QB,Jauan Jennings,WR,Tank Dell,WR,Dalton Kincaid,TE,True
8,2,Value-Play (Combo),Value-Play strategy optimized for slot 8,1574.9066666666668,RB/WR Combo,Amon-Ra St. Brown,WR,Saquon Barkley,RB,Kyren Williams,RB,Malik Nabers,WR,Rome Odunze,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Khalil Shakir,WR,Jonathon Brooks,RB,Jalen Coker,WR,Isaiah Likely,TE,Isiah Pacheco,RB,Tank Dell,WR,Tyrone Tracy Jr.,RB,True
8,3,WR-First (Combo),WR-First strategy optimized for slot 8,1566.9299999999998,RB/WR Combo,Amon-Ra St. Brown,WR,Justin Jefferson,WR,Kyren Williams,RB,Javonte Williams,RB,Rome Odunze,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Khalil Shakir,WR,Jonathon Brooks,RB,Jalen Coker,WR,Alvin Kamara,RB,Hunter Henry,TE,Tank Dell,WR,Tyrone Tracy Jr.,RB,True
8,4,WR-Heavy,"Three WRs in first 5 picks, RB value in mid rounds for bench",1553.9066666666668,Generic,Amon-Ra St. Brown,WR,Saquon Barkley,RB,Zay Flowers,WR,Malik Nabers,WR,Bhayshul Tuten,RB,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Khalil Shakir,WR,Jonathon Brooks,RB,Isaiah Likely,TE,Alvin Kamara,RB,Jauan Jennings,WR,Tank Dell,WR,Tyrone Tracy Jr.,RB,True
8,5,Ryans-Animal,"Only draft players from teams with animal mascots, best available strategy",1550.24,Generic,Jonathan Taylor,RB,Saquon Barkley,RB,Zay Flowers,WR,Tee Higgins,WR,Rome Odunze,WR,Joe Burrow,QB,RJ Harvey,RB,J.K. Dobbins,RB,Mark Andrews,TE,Khalil Shakir,WR,Bo Nix,QB,No player available,,Zach Charbonnet,RB,No player available,,Dalton Kincaid,TE,No player available,,True
8,6,Hero-RB,"Elite RB in R1, skip R2 RB, load WR/TE early, grab RBs in mid-rounds",1549.513333333333,Generic,Jonathan Taylor,RB,Justin Jefferson,WR,Zay Flowers,WR,Malik Nabers,WR,Colston Loveland,TE,Wan'Dale Robinson,WR,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Jonathon Brooks,RB,Isaiah Likely,TE,Alvin Kamara,RB,Jauan Jennings,WR,Tyrone Tracy Jr.,RB,Denzel Boston,WR,False
8,7,RB-WR-Mix (Combo),RB-WR-Mix strategy optimized for slot 8,1548.513333333333,RB/WR Combo,Jonathan Taylor,RB,Justin Jefferson,WR,Kyren Williams,RB,Malik Nabers,WR,Rome Odunze,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Calvin Ridley,WR,Isaiah Likely,TE,Alvin Kamara,RB,Jauan Jennings,WR,Tyrone Tracy Jr.,RB,Denzel Boston,WR,False
8,8,Balanced,"Balanced RB/WR mix early, strong TE/flex depth on bench",1548.513333333333,Generic,Jonathan Taylor,RB,Justin Jefferson,WR,Kyren Williams,RB,Malik Nabers,WR,Rome Odunze,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Calvin Ridley,WR,Isaiah Likely,TE,Alvin Kamara,RB,Jauan Jennings,WR,Tyrone Tracy Jr.,RB,Denzel Boston,WR,False
8,9,Heavy-RB,"Three elite RBs in first 3 rounds, pivot to WR depth",1548.24,Generic,Jonathan Taylor,RB,Saquon Barkley,RB,Kyren Williams,RB,Malik Nabers,WR,Rome Odunze,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Calvin Ridley,WR,Tyjae Spears,RB,Jalen McMillan,WR,Hunter Henry,TE,Tyrone Tracy Jr.,RB,Denzel Boston,WR,False
8,10,RB-First (Combo),RB-First strategy optimized for slot 8,1546.49,RB/WR Combo,Jonathan Taylor,RB,Saquon Barkley,RB,Zay Flowers,WR,Malik Nabers,WR,Rome Odunze,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Calvin Ridley,WR,Tyjae Spears,RB,Jalen McMillan,WR,Hunter Henry,TE,Tyrone Tracy Jr.,RB,Denzel Boston,WR,False
8,11,Zero-RB,"Three elite WRs early, RBs in mid rounds for strong bench depth",1544.9299999999998,Generic,Amon-Ra St. Brown,WR,Justin Jefferson,WR,Zay Flowers,WR,Javonte Williams,RB,Bhayshul Tuten,RB,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Calvin Ridley,WR,Tyjae Spears,RB,Jalen McMillan,WR,Hunter Henry,TE,Tyrone Tracy Jr.,RB,Denzel Boston,WR,False
8,12,TE-Premium (Combo),TE-Premium strategy optimized for slot 8,1542.486666666667,RB/WR Combo,Jonathan Taylor,RB,Justin Jefferson,WR,Brock Bowers,TE,Malik Nabers,WR,Bhayshul Tuten,RB,Wan'Dale Robinson,WR,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Calvin Ridley,WR,Isaiah Likely,TE,Alvin Kamara,RB,Jauan Jennings,WR,Dalton Kincaid,TE,Tyrone Tracy Jr.,RB,False
9,1,Best-Available,Pick best value within ADP range regardless of position,1584.5933333333332,Generic,Amon-Ra St. Brown,WR,Drake London,WR,DeVonta Smith,WR,Terry McLaurin,WR,Rome Odunze,WR,Jadarian Price,RB,RJ Harvey,RB,Trevor Lawrence,QB,Michael Wilson,WR,Kyle Monangai,RB,Jaxson Dart,QB,Jalen Coker,WR,Alvin Kamara,RB,Jalen McMillan,WR,Denzel Boston,WR,Dalton Kincaid,TE,True
9,2,Value-Play (Combo),Value-Play strategy optimized for slot 9,1562.5966666666668,RB/WR Combo,Amon-Ra St. Brown,WR,Derrick Henry,RB,Travis Etienne Jr.,RB,Terry McLaurin,WR,Rome Odunze,WR,Tyler Warren,TE,Jalen Hurts,QB,DEF (Round 8),DEF,K (Round 9),K,Khalil Shakir,WR,Jonathon Brooks,RB,Jalen Coker,WR,Isaiah Likely,TE,Isiah Pacheco,RB,Denzel Boston,WR,Tyrone Tracy Jr.,RB,True
9,3,Ryans-Animal,"Only draft players from teams with animal mascots, best available strategy",1558.8433333333332,Generic,Amon-Ra St. Brown,WR,Drake London,WR,DeVonta Smith,WR,No player available,,Rome Odunze,WR,Jadarian Price,RB,RJ Harvey,RB,J.K. Dobbins,RB,Michael Wilson,WR,Kyle Monangai,RB,Bo Nix,QB,No player available,,Zach Charbonnet,RB,No player available,,Dalton Kincaid,TE,No player available,,True
9,4,Hero-RB,"Elite RB in R1, skip R2 RB, load WR/TE early, grab RBs in mid-rounds",1554.65,Generic,De'Von Achane,RB,Drake London,WR,DeVonta Smith,WR,Terry McLaurin,WR,Colston Loveland,TE,Wan'Dale Robinson,WR,Jalen Hurts,QB,DEF (Round 8),DEF,K (Round 9),K,Kyle Monangai,RB,Jonathon Brooks,RB,Isaiah Likely,TE,Alvin Kamara,RB,Jalen McMillan,WR,Tyrone Tracy Jr.,RB,Denzel Boston,WR,True
9,5,WR-First (Combo),WR-First strategy optimized for slot 9,1553.8433333333332,RB/WR Combo,Amon-Ra St. Brown,WR,Drake London,WR,Travis Etienne Jr.,RB,Javonte Williams,RB,Rome Odunze,WR,Tyler Warren,TE,Jalen Hurts,QB,DEF (Round 8),DEF,K (Round 9),K,Khalil Shakir,WR,Jonathon Brooks,RB,Jalen Coker,WR,Alvin Kamara,RB,Hunter Henry,TE,Denzel Boston,WR,Tyrone Tracy Jr.,RB,True
9,6,WR-Heavy,"Three WRs in first 5 picks, RB value in mid rounds for bench",1548.5966666666668,Generic,Amon-Ra St. Brown,WR,Derrick Henry,RB,DeVonta Smith,WR,Terry McLaurin,WR,Bhayshul Tuten,RB,Tyler Warren,TE,Jalen Hurts,QB,DEF (Round 8),DEF,K (Round 9),K,Khalil Shakir,WR,Jonathon Brooks,RB,Isaiah Likely,TE,Alvin Kamara,RB,Jalen McMillan,WR,Denzel Boston,WR,Tyrone Tracy Jr.,RB,False
9,7,Zero-RB,"Three elite WRs early, RBs in mid rounds for strong bench depth",1541.8433333333332,Generic,Amon-Ra St. Brown,WR,Drake London,WR,DeVonta Smith,WR,Javonte Williams,RB,Bhayshul Tuten,RB,Tyler Warren,TE,Jalen Hurts,QB,DEF (Round 8),DEF,K (Round 9),K,Kyle Monangai,RB,Jalen Coker,WR,Tyjae Spears,RB,Jalen McMillan,WR,Hunter Henry,TE,Tyrone Tracy Jr.,RB,Denzel Boston,WR,False
9,8,RB-First (Combo),RB-First strategy optimized for slot 9,1541.1533333333332,RB/WR Combo,De'Von Achane,RB,Derrick Henry,RB,DeVonta Smith,WR,Terry McLaurin,WR,Rome Odunze,WR,Tyler Warren,TE,Jalen Hurts,QB,DEF (Round 8),DEF,K (Round 9),K,Kyle Monangai,RB,Jalen Coker,WR,Tyjae Spears,RB,Jalen McMillan,WR,Hunter Henry,TE,Tyrone Tracy Jr.,RB,Denzel Boston,WR,False
9,9,TE-Premium (Combo),TE-Premium strategy optimized for slot 9,1539.1233333333334,RB/WR Combo,De'Von Achane,RB,Drake London,WR,Brock Bowers,TE,Terry McLaurin,WR,Bhayshul Tuten,RB,Wan'Dale Robinson,WR,Jalen Hurts,QB,DEF (Round 8),DEF,K (Round 9),K,Kyle Monangai,RB,Jalen Coker,WR,Isaiah Likely,TE,Alvin Kamara,RB,Jalen McMillan,WR,Dalton Kincaid,TE,Tyrone Tracy Jr.,RB,False
9,10,Balanced,"Balanced RB/WR mix early, strong TE/flex depth on bench",1538.65,Generic,De'Von Achane,RB,Drake London,WR,Travis Etienne Jr.,RB,Terry McLaurin,WR,Rome Odunze,WR,Tyler Warren,TE,Jalen Hurts,QB,DEF (Round 8),DEF,K (Round 9),K,Kyle Monangai,RB,Jalen Coker,WR,Isaiah Likely,TE,Alvin Kamara,RB,Jalen McMillan,WR,Tyrone Tracy Jr.,RB,Denzel Boston,WR,False
9,11,RB-WR-Mix (Combo),RB-WR-Mix strategy optimized for slot 9,1538.65,RB/WR Combo,De'Von Achane,RB,Drake London,WR,Travis Etienne Jr.,RB,Terry McLaurin,WR,Rome Odunze,WR,Tyler Warren,TE,Jalen Hurts,QB,DEF (Round 8),DEF,K (Round 9),K,Kyle Monangai,RB,Jalen Coker,WR,Isaiah Likely,TE,Alvin Kamara,RB,Jalen McMillan,WR,Tyrone Tracy Jr.,RB,Denzel Boston,WR,False
9,12,Heavy-RB,"Three elite RBs in first 3 rounds, pivot to WR depth",1536.9033333333332,Generic,De'Von Achane,RB,Derrick Henry,RB,Travis Etienne Jr.,RB,Terry McLaurin,WR,Rome Odunze,WR,Tyler Warren,TE,Jalen Hurts,QB,DEF (Round 8),DEF,K (Round 9),K,Kyle Monangai,RB,Jalen Coker,WR,Tyjae Spears,RB,Jalen McMillan,WR,Hunter Henry,TE,Tyrone Tracy Jr.,RB,Denzel Boston,WR,False
10,1,Best-Available,Pick best value within ADP range regardless of position,1583.7733333333333,Generic,De'Von Achane,RB,Ashton Jeanty,RB,Tetairoa McMillan,WR,Terry McLaurin,WR,Courtland Sutton,WR,Lamar Jackson,QB,RJ Harvey,RB,Aaron Jones Sr.,RB,Rachaad White,RB,Josh Downs,WR,Jonathon Brooks,RB,Jalen Coker,WR,Isaiah Likely,TE,Isiah Pacheco,RB,Denzel Boston,WR,Jordan Love,QB,True
10,2,Value-Play (Combo),Value-Play strategy optimized for slot 10,1562.3133333333333,RB/WR Combo,CeeDee Lamb,WR,Ashton Jeanty,RB,Travis Etienne Jr.,RB,Terry McLaurin,WR,Courtland Sutton,WR,Tyler Warren,TE,Jalen Hurts,QB,DEF (Round 8),DEF,K (Round 9),K,Josh Downs,WR,Jonathon Brooks,RB,Jalen Coker,WR,Isaiah Likely,TE,Isiah Pacheco,RB,Denzel Boston,WR,Tyrone Tracy Jr.,RB,True
10,3,Ryans-Animal,"Only draft players from teams with animal mascots, best available strategy",1559.4,Generic,De'Von Achane,RB,Drake London,WR,Josh Allen,QB,No player available,,Courtland Sutton,WR,Lamar Jackson,QB,RJ Harvey,RB,J.K. Dobbins,RB,Dallas Goedert,TE,Josh Downs,WR,Bo Nix,QB,No player available,,Zach Charbonnet,RB,Isiah Pacheco,RB,Dalton Kincaid,TE,No player available,,True
10,4,Hero-RB,"Elite RB in R1, skip R2 RB, load WR/TE early, grab RBs in mid-rounds",1556.4,Generic,De'Von Achane,RB,Drake London,WR,Tetairoa McMillan,WR,Terry McLaurin,WR,Colston Loveland,TE,DK Metcalf,WR,Jalen Hurts,QB,DEF (Round 8),DEF,K (Round 9),K,Kyle Monangai,RB,Jonathon Brooks,RB,Isaiah Likely,TE,Woody Marks,RB,Jalen McMillan,WR,Tyrone Tracy Jr.,RB,Tank Dell,WR,True
